OEIS %N name templates (>= 25 sequences sharing one abstracted name pattern)
===============================================================================

Method:
  All %N (name) fields of the 398,534 .seq files were extracted and
  normalized: lowercased; integer literals and spelled-out number words
  replaced by {pK} slots; references to other sequences (Annnnnn)
  replaced by {AK} slots.
  Names that then coincide belong to one template: its members differ only
  by the constant parameters (or small arithmetic expressions built on
  them) in those slots.

Stats:
  sequences total ............ 398,534
  distinct raw templates ..... 245,149
  templates with >= 25 ....... 704
  sequences covered by them .. 66,238 (16.6%)

Placeholders: {pK} = K-th integer constant, {AK} = K-th sequence reference.
Templates longer than 160 chars are truncated with '...'.

|  # | count | template | example members |
| 198 |    77 | number of binary strings of length n with no substrings equal to {p1} {p2} or {p3} | A164407, A164432, A164450, A164469, A164490 |
| 199 |    77 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, -{p7}, {p8}), (-{p9}, {p10... | A149887, A149955, A150145, A150291, A150535 |
| 200 |    77 | numbers that are the sum of {p1} fourth powers in exactly {p2} ways | A341892, A344730, A345816, A345831, A345846 |
| 201 |    76 | number of {p1}xn {p2}..{p3} arrays with every element equal to {p4}, {p5}, {p6}, {p7} or {p8} horizontally, diagonally or antidiagonally adjacent elements, with... | A302742, A302879, A302969, A303103, A303244 |
| 202 |    75 | primes congruent to {{p1}, {p2}, {p3}} mod {p4} | A003625, A045374, A045423, A045463, A215211 |
| 203 |    74 | number of nx{p1} {p2}..{p3} arrays with every element equal to {p4}, {p5}, {p6}, {p7} or {p8} horizontally, diagonally or antidiagonally adjacent elements, with... | A302736, A302873, A302963, A303101, A303249 |
| 204 |    74 | primes congruent to {{p1}, {p2}, {p3}, {p4}} mod {p5} | A042986, A045384, A045443, A215277, A215350 |
| 205 |    74 | smallest k such that {p1}^k has exactly n {p2}'s in its decimal representation | A063115, A063560, A063584, A063601, A063617 |
| 206 |    73 | intersection of {A1} and {A2} | A038160, A188533, A277726, A356053, A360397 |
| 207 |    72 | number of nx{p1} {p2}..{p3} arrays with every element equal to {p4}, {p5}, {p6} or {p7} horizontally, diagonally or antidiagonally adjacent elements, with upper... | A302261, A302364, A302424, A302512, A302631 |
| 208 |    72 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, -{p7}, {p8}), (-{p9}, {p10... | A148038, A148683, A149298, A149375, A149688 |
| 209 |    70 | a(n) = n^{p1}*(n^{p2} + {p3})/{p4} | A037270, A168196, A168527, A168665, A170787 |
| 210 |    70 | decimal expansion of ({p1}+{p2}*sqrt({p3}))/{p4} | A156163, A159897, A161488, A176436, A177153 |
| 211 |    70 | gaussian binomial coefficient [ n,{p1} ] for q = -{p2} | A015249, A015271, A015293, A015315, A015334 |
| 212 |    70 | number of nx{p1} {p2}..{p3} arrays with every element equal to {p4}, {p5}, {p6}, {p7} or {p8} horizontally, vertically or antidiagonally adjacent elements, with... | A300799, A300883, A300933, A300971, A301353 |
| 213 |    70 | numbers that are the sum of {p1} fourth powers in {p2} or more ways | A341891, A344737, A345562, A345576, A345590 |
| 214 |    69 | half the number of length n integer sequences with sum zero and sum of squares {p1} | A157534, A157547, A157560, A157573, A157586 |
| 215 |    69 | inverse of {p1}rd cyclotomic polynomial | A014032, A014502, A015012, A015472, A015862 |
| 216 |    69 | inverse of {p1}st cyclotomic polynomial | A014030, A014560, A015080, A015550, A015970 |
| 217 |    69 | number of n x n {p1}..{p2} arrays avoiding {p3} {p4} {p5} and {p6} {p7} {p8} horizontally and {p9} {p10} {p11} and {p12} {p13} {p14} vertically | A207019, A207413, A207677, A207874, A208063 |
| 218 |    68 | gaussian binomial coefficients [ n,{p1} ] for q = {p2} | A022196, A022209, A022222, A022235, A022248 |
| 219 |    68 | numbers that are the sum of {p1} positive {p2}th powers | A003336, A003351, A003366, A003379, A004808 |
| 220 |    68 | primes congruent to {{p1}, {p2}} mod {p3} | A003628, A045383, A045436, A045472, A215167 |
| 221 |    67 | a(n) = {p1}*a(n-{p2}) - {p3}*a(n-{p4}) for n > {p5}; a({p6}) = {p7}, a({p8}) = {p9} | A152599, A163308, A163458, A164072, A164547 |
| 222 |    67 | length of n-th run of digit {p1} in {A1} | A030336, A030380, A030421, A030597, A031242 |
| 223 |    67 | number of ways to place zero or more nonadjacent {p1},{p2} {p3},{p4} {p5},{p6} {p7},{p8} {p9},{p10} {p11},{p12} polyhexes in any orientation on a planar nxnxn t... | A155248, A155261, A155274, A155287, A155300 |
| 224 |    67 | numbers k such that {A1}(k) is prime | A033872, A109790, A136371, A293715, A342630 |
| 225 |    66 | binomial coefficient c({p1}n,n-{p2}) | A004310, A004330, A004346, A004363, A004377 |
| 226 |    66 | number of nonempty subsets of {{p1},{p2},...,n} in which exactly {p3}/{p4} of the elements are <= (n-{p5})/{p6} | A047171, A047184, A048009, A048022, A048035 |
| 227 |    65 | number of {p1}*n x {p2} {p3}..{p4} arrays with row sums {p5} and column sums n | A172568, A172600, A172673, A172758, A172830 |
| 228 |    65 | number of {p1}xn {p2}..{p3} arrays with every element equal to {p4}, {p5}, {p6} or {p7} horizontally, diagonally or antidiagonally adjacent elements, with upper... | A302266, A302371, A302430, A302518, A302640 |
| 229 |    65 | t(n,k)=number of nxk {p1}..{p2} arrays avoiding {p3} {p4} {p5} and {p6} {p7} {p8} horizontally and {p9} {p10} {p11} and {p12} {p13} {p14} vertically | A207068, A207426, A207741, A207928, A208164 |
| 230 |    64 | main diagonal of {A1} | A050315, A232471, A284273, A323216, A349263 |
| 231 |    64 | numbers k such that {p1}^k - {p2} is prime | A014224, A059613, A177093, A219038, A271618 |
| 232 |    64 | squares composed of digits {{p1},{p2},{p3}} | A027676, A053891, A053915, A053939, A053963 |
| 233 |    63 | a(n) = ({p1}*n+{p2})^{p3} | A016756, A016784, A016893, A017109, A017223 |
| 234 |    62 | gaussian binomial coefficient [ n,{p1} ] for q=-{p2} | A015273, A015369, A015384, A015401, A015421 |
| 235 |    61 | mirror of the triangle {A1} | A193725, A193797, A193862, A193920, A193968 |
| 236 |    61 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, -{p7}, {p8}), (-{p9}, {p10... | A148107, A148400, A148454, A148480, A149045 |
| 237 |    61 | number of {p1}..{p2} integer arrays v[{p3}..n] of length n with all autocorrelation values sum(i){v[i]*v[i-k]} distinct for k in {p4}..n-{p5} | A171276, A171288, A171300, A171313, A171325 |
| 238 |    61 | numbers n such that number of runs in the base {p1} representation of n is congruent to {p2} mod {p3} | A043747, A043763, A043788, A043813, A043849 |
| 239 |    61 | {A1}({A2}(n)) | A094513, A098549, A112977, A117924, A143693 |
| 240 |    60 | a(n) = sum_{k={p1}..n-{p2}} t(n,k) * t(n,k+{p3}), with t given by {A1} | A026934, A026957, A026977, A026997, A027234 |
| 241 |    60 | number of n x {p1} {p2}..{p3} arrays with row sums {p4} and column sums n | A172633, A172737, A172814, A172869, A172927 |
| 242 |    60 | number of nx{p1} {p2}..{p3} arrays with every element equal to {p4}, {p5}, {p6} or {p7} horizontally, vertically or antidiagonally adjacent elements, with upper... | A300468, A300505, A300602, A300641, A300686 |
| 243 |    60 | positions of {p1}'s in {A1} | A050679, A171951, A234807, A284795, A343880 |
| 244 |    59 | column {p1} of {A1} | A048806, A112083, A285170, A287031, A287044 |
| 245 |    59 | number of ({p1}+{p2})x(n+{p3}) {p4}..{p5} arrays with every {p6}x{p7} subblock row and diagonal sum equal to {p8} {p9} {p10} {p11} or {p12} and every {p13}x{p14... | A252306, A252410, A252440, A252565, A252621 |
| 246 |    58 | legendre symbol (n,{p1}) | A011582, A011593, A011604, A011615, A011626 |
| 247 |    58 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, {p7}, {p8}), (-{p9}, {p10}... | A148156, A148352, A148736, A148954, A149401 |
| 248 |    58 | numbers k such that k^{p1} contains only digits {{p2},{p3},{p4}} | A031153, A053898, A053920, A053942, A053964 |
| 249 |    58 | numbers whose set of base-{p1} digits is {{p2},{p3}} | A032804, A032816, A032827, A032839, A032922 |
| 250 |    58 | row {p1} of array in {A1} | A006239, A092972, A144496, A265081, A322767 |
| 251 |    57 | a(n) = {A1}(n+{p1})/{A2}(n) | A058256, A078228, A083156, A088779, A203308 |
| 252 |    57 | decimal expansion of log_{p1}({p2}) | A007524, A114493, A153458, A154294, A154912 |
| 253 |    57 | lexicographically earliest infinite sequence such that a(i) = a(j) => {A1}(i) = {A2}(j) and {A3}(i) = {A4}(j), for all i, j >= {p1} | A300223, A336160, A336934, A361026, A372571 |
| 254 |    57 | number of (n+{p1}) x ({p2}+{p3}) {p4}..{p5} arrays with each {p6} x {p7} subblock having clockwise perimeter pattern {p8} {p9} or {p10} | A259887, A260009, A260204, A260494, A261107 |
| 255 |    57 | number of permutations of [n] avoiding {{p1}, {p2}, {p3}} | A294048, A294706, A294760, A294772, A294806 |
| 256 |    57 | starting positions of strings of {p1} {p2}'s in the decimal expansion of pi | A050201, A050272, A083610, A083622, A083635 |
| 257 |    56 | a(n) = {p1}*{p2}^n + {p3} | A083683, A199110, A199556, A199686, A277989 |
| 258 |    56 | dirichlet inverse of {A1} | A120630, A346237, A353468, A359433, A378216 |
| 259 |    56 | expansion of {p1}/(({p2}-{p3}x)({p4}-{p5}x)({p6}-{p7}x)) | A001240, A016320, A018208, A019672, A020343 |
| 260 |    56 | number of partitions of n into parts {p1}k+{p2} and {p3}k+{p4} with at least {p5} part of each type | A035620, A035643, A035660, A035671, A035689 |
| 261 |    56 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, -{p7}, {p8}), ({p9}, {p10}... | A151053, A151098, A151140, A151182, A151202 |
| 262 |    56 | numbers that are the sum of {p1} squares in {p2} or more ways | A344795, A344807, A345481, A345492, A345503 |
| 263 |    55 | a bisection of {A1} | A099055, A117933, A142877, A163228, A238091 |
| 264 |    55 | expansion of sqrt({p1}) in base {p2} | A004539, A004550, A004561, A004572, A004584 |
| 265 |    55 | period {p1}: repeat [{p2}, {p3}, {p4}, {p5}, {p6}, {p7}] | A010885, A131027, A134977, A153990, A185273 |
| 266 |    55 | permutation of natural numbers: a(n) = {A1}({A2}(n)) | A235485, A245706, A249823, A254054, A266645 |
| 267 |    55 | primes p such that {p1} is not a square mod p | A038877, A038902, A038924, A038946, A038968 |
| 268 |    55 | primes with {p1} as smallest positive primitive root | A061323, A061334, A061739, A114665, A114676 |
| 269 |    54 | expansion of {p1}/(({p2}-{p3}*x)*({p4}-{p5}*x)*({p6}-{p7}*x)) | A016282, A016313, A018091, A019682, A020971 |
| 270 |    54 | smallest nonempty set s containing prime divisors of {p1}k+{p2} for each k in s | A020576, A020589, A020602, A020614, A020624 |
| 271 |    53 | binomial coefficients c({p1},n) | A010926, A017774, A017784, A017795, A017805 |
| 272 |    53 | decimal expansion of log({p1}/{p2}) | A016578, A016588, A016598, A016608, A016618 |
| 273 |    53 | expansion of (theta_{p1}(z)*theta_{p2}({p3}z)+theta_{p4}(z)*theta_{p5}({p6}z))^{p7} | A002653, A028591, A028607, A028624, A028646 |
| 274 |    53 | number of (n+{p1}) x {p2} {p3}..{p4} matrices with each {p5} x {p6} subblock idempotent | A224544, A224556, A224572, A224622, A224675 |
| 275 |    53 | number of n x n binary arrays symmetric under {p1} degree rotation with all ones connected only in a {p2}-{p3}-{p4}-{p5} pattern in any orientation | A146829, A147049, A147129, A147199, A147323 |
| 276 |    53 | number of nx{p1} {p2}..{p3} arrays with each {p4} adjacent to {p5}, {p6} or {p7} king-move neighboring {p8}s | A296647, A296686, A296800, A296832, A296969 |
| 277 |    53 | numbers with {p1} divisors | A030513, A030637, A137492, A175744, A175754 |
| 278 |    53 | smallest m such that {A1}(m) = n | A064689, A116454, A132602, A208852, A256283 |
| 279 |    52 | a(n) = {A1}(n) + {A2}(n) | A081293, A172048, A276783, A319806, A349389 |
| 280 |    52 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, -{p7}, {p8}), (-{p9}, {p10... | A148132, A148390, A148430, A148835, A148871 |
| 281 |    52 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, -{p7}, {p8}), (-{p9}, {p10... | A148041, A148389, A148696, A149349, A149405 |
| 282 |    52 | numbers that are the sum of {p1} fifth powers in {p2} or more ways | A342685, A345607, A345617, A345627, A345640 |
| 283 |    51 | binomial coefficients c(n,{p1}) | A000389, A017722, A017732, A017742, A017752 |
| 284 |    51 | dimension of the space of weight {p1}n cusp forms for gamma_{p2}( {p3} ) | A063081, A063107, A063128, A063143, A063155 |
| 285 |    51 | index of {p1}^n within the sequence of the numbers of the form {p2}^i*{p3}^j | A025692, A025705, A025716, A025726, A025737 |
| 286 |    51 | inverse binomial transform of {A1} | A032347, A100443, A140360, A156096, A277043 |
| 287 |    51 | inverse of {p1}nd cyclotomic polynomial | A014031, A014471, A015031, A015471, A015941 |
| 288 |    51 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, {p7}, {p8}), ({p9}, -{p10}... | A150100, A150560, A150798, A150863, A150889 |
| 289 |    51 | t(n,k)=number of nxk {p1}..{p2} arrays with every element unequal to {p3}, {p4}, {p5}, {p6}, {p7} or {p8} king-move adjacent elements, with upper left element z... | A305530, A305961, A316176, A316376, A316576 |
| 290 |    50 | a(n) = {A1}(n) mod {p1} | A051065, A099076, A179475, A284575, A354107 |
| 291 |    50 | fixed points of {A1} | A065197, A241912, A333762, A344848, A376299 |
| 292 |    50 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, {p7}, {p8}), ({p9}, -{p10}... | A150171, A150568, A150816, A150874, A150991 |
| 293 |    50 | permutation of nonnegative integers: a(n) = {A1}({A2}(n)) | A064273, A264966, A265352, A265364, A275958 |
| 294 |    50 | primes p such that {p1}*p + {p2} is also prime | A007693, A023220, A023232, A051653, A155938 |
| 295 |    50 | t(n,n-{p1}), array t as in {A1} | A038732, A038794, A047093, A047125, A054094 |
| 296 |    49 | continued fraction for log({p1}/{p2}) | A016529, A016538, A016547, A016556, A016565 |
| 297 |    49 | coordination sequence for lattice d*_{p1} (with edges defined by l_{p2} norm = {p3}) | A035471, A035611, A035805, A035814, A035823 |
| 298 |    49 | expansion of {p1}/(({p2}-x)*({p3}-{p4}*x)*({p5}-{p6}*x)*({p7}-{p8}*x)) | A021029, A021144, A021374, A021834, A022454 |
| 299 |    49 | nonnegative values x of solutions (x, y) to the diophantine equation x^{p1}+(x+{p2})^{p3} = y^{p4} | A101152, A122694, A129641, A130004, A130646 |
| 300 |    49 | number of (n+{p1})x({p2}+{p3}) {p4}..{p5} arrays with every {p6}x{p7} subblock having the sum of the absolute values of all {p8} edge and diagonal differences e... | A233869, A233938, A233979, A234079, A234089 |
| 301 |    49 | numbers n such that {A1}(n) = {p1} | A034784, A137242, A161442, A161453, A221974 |
| 302 |    48 | dimension of the space of weight {p1}n cuspidal newforms for gamma_{p2}( {p3} ) | A063195, A063204, A063214, A063223, A063233 |
| 303 |    48 | discriminants of real quadratic fields with class number {p1} and related continued fraction period length of {p2} | A050950, A050959, A050968, A051969, A051978 |
| 304 |    48 | log base {p1} (n) mod {p2} | A036163, A036172, A036181, A036190, A036199 |
| 305 |    48 | number of (n+{p1})x({p2}+{p3}) {p4}..{p5} arrays with every {p6}x{p7} subblock row and diagonal sum equal to {p8} {p9} {p10} {p11} or {p12} and every {p13}x{p14... | A252298, A252403, A252525, A252569, A252633 |
| 306 |    48 | number of n x n {p1}..{p2} arrays with every element equal to {p3}, {p4}, {p5}, {p6} or {p7} king-move adjacent elements, with upper left element zero | A298188, A298331, A298502, A298630, A298776 |
| 307 |    48 | number of partitions of n into parts {p1}k+{p2} or {p3}k+{p4} | A003106, A035381, A035429, A035438, A035455 |
| 308 |    48 | number of reduced words of length n in the weyl group b_{p1} | A161696, A161858, A161899, A161976, A162168 |
| 309 |    48 | number of {p1}xn {p2}..{p3} arrays with every {p4} horizontally, diagonally or antidiagonally adjacent to {p5}, {p6} or {p7} neighboring {p8}s | A297608, A297641, A297685, A297721, A297753 |
| 310 |    48 | numbers that are the sum of {p1} fifth powers in exactly {p2} ways | A342686, A346284, A346333, A346343, A346353 |
| 311 |    48 | primes of the form {p1}^k + {p2} | A057733, A104065, A144487, A176926, A228031 |
| 312 |    48 | the arithmetic function u(n,{p1},{p2}) | A291040, A291367, A291428, A291467, A291476 |
| 313 |    48 | totally multiplicative sequence with a(p) = {p1} | A165824, A165833, A165842, A165851, A165860 |
| 314 |    47 | coordination sequence for a_{p1} lattice | A008383, A035839, A035848, A035857, A035866 |
| 315 |    47 | coordination sequence for c_{p1} lattice | A019560, A035750, A035759, A035768, A035777 |
| 316 |    47 | coordination sequence for d_{p1} lattice | A007900, A107508, A107517, A107526, A107535 |
| 317 |    47 | coordination sequence for diamond structure d^+_{p1}. (edges defined by l_{p2} norm = {p3}.) | A035879, A035889, A035898, A035907, A035916 |
| 318 |    47 | number of (n+{p1})x({p2}+{p3}) {p4}..{p5} arrays with every {p6}x{p7} subblock row, column, diagonal and antidiagonal sum not equal to {p8} {p9} {p10} {p11} or... | A252134, A252199, A252265, A252319, A252453 |
| 319 |    47 | number of n x n {p1}..{p2} arrays with every element equal to {p3}, {p4}, {p5}, {p6}, {p7} or {p8} king-move adjacent elements, with upper left element zero | A298147, A299083, A299222, A299360, A299515 |
| 320 |    47 | number of nondecreasing integer sequences of length {p1} with sum zero and sum of absolute values {p2}n | A158138, A158147, A158156, A158165, A158174 |
| 321 |    47 | number of reduced words of length n in the weyl group a_{p1} | A161436, A161465, A161521, A161636, A161653 |
| 322 |    47 | number of reduced words of length n in the weyl group d_{p1} | A162207, A162300, A162364, A162378, A162402 |
| 323 |    47 | primes of form x^{p1}+{p2}*y^{p3} | A033199, A033219, A033228, A033238, A033247 |
| 324 |    47 | t(n,k)=number of nxk {p1}..{p2} arrays with every element unequal to {p3}, {p4}, {p5}, {p6} or {p7} king-move adjacent elements, with upper left element zero | A304310, A304597, A304926, A305097, A305340 |
| 325 |    47 | theta series of (putative) extremal {p1}-modular even lattice in dimension {p2} | A034599, A034609, A034618, A034639, A034648 |
| 326 |    46 | a(n) = ({p1}^n - {p2})/{p3} | A002450, A116970, A218725, A218734, A218744 |
| 327 |    46 | a(n) = {A1}(n)^{p1} | A049503, A129967, A153147, A181763, A284494 |
| 328 |    46 | a(n) = {p1}*n^{p2} | A001105, A064761, A174333, A219056, A244636 |
| 329 |    46 | coordination sequence for {p1}-dimensional cubic lattice | A008413, A035709, A035718, A035727, A035736 |
| 330 |    46 | divisors of {p1}^{p2} - {p3} | A003523, A003532, A003542, A003551, A109933 |
| 331 |    46 | expansion of {p1}/(({p2}-x)({p3}-x^{p4})({p5}-x^{p6})({p7}-x^{p8})) | A029001, A029037, A029076, A029112, A029125 |
| 332 |    46 | inverse of {A1} | A054239, A098551, A113004, A120236, A271862 |
| 333 |    46 | number of nxn {p1}..{p2} arrays with every element unequal to {p3}, {p4}, {p5}, {p6}, {p7} or {p8} king-move adjacent elements, with upper left element zero | A305517, A305948, A316124, A316377, A316616 |
| 334 |    46 | numbers k such that {p1}*{p2}^k-{p3} is prime | A050413, A050563, A050618, A050849, A050892 |
| 335 |    46 | numbers that are the sum of {p1} cubes in exactly {p2} ways | A344804, A345775, A345785, A345795, A345804 |
| 336 |    46 | primes p such that {p1} is a square mod p | A038874, A038915, A038933, A038951, A038969 |
| 337 |    46 | square array a(n,k), n >= {p1}, k >= {p2}, read by antidiagonals downwards, where column k is the expansion of b(x)^k, where b(x) is the g.f. of {A1} | A379598, A381602, A384651, A384899, A384977 |
| 338 |    45 | decimal expansion of sqrt({p1}) | A002194, A176445, A177035, A177839, A178230 |
| 339 |    45 | mckay-thompson series of class {p1}a for the monster group | A007242, A058690, A096563, A112186, A112214 |
| 340 |    45 | number of (n+{p1}) x {p2} {p3}..{p4} arrays with every {p5} x {p6} subblock summing to {p7} | A183624, A183636, A183647, A183658, A183669 |
| 341 |    45 | number of (n+{p1})x({p2}+{p3}) {p4}..{p5} arrays with every {p6}x{p7} subblock row and column sum equal to {p8} {p9} {p10} {p11} or {p12} and every {p13}x{p14}... | A252098, A252142, A252164, A252205, A252331 |
| 342 |    45 | number of (n+{p1})x({p2}+{p3}) {p4}..{p5} arrays with no {p6}x{p7} subblock diagonal sum {p8} and no antidiagonal sum {p9} and no row sum {p10} and no column su... | A255084, A255097, A255147, A255778, A255791 |
| 343 |    45 | number of (n+{p1})x{p2} {p3}..{p4} arrays with each {p5}x{p6} subblock having rows and columns in lexicographically nondecreasing order | A184566, A185428, A185471, A186092, A186177 |
| 344 |    45 | number of divisors of {p1}*n-{p2} of form {p3}*k+{p4} | A359212, A359244, A359307, A363850, A363860 |
| 345 |    45 | number of n x n arrays of squares of integers with every (n-{p1})x(n-{p2}) subblock summing to {p3} | A159356, A159370, A159388, A159410, A159430 |
| 346 |    45 | numerator of bernoulli(n, -{p1}/{p2}) | A157781, A158088, A158701, A158995, A159306 |
| 347 |    45 | primes without {{p1}, {p2}} as digits | A036962, A386323, A386332, A386341, A386350 |
| 348 |    45 | sums of {p1} distinct powers of {p2} | A018900, A038452, A038467, A038476, A038485 |
| 349 |    44 | in the sequence of prime numbers, replace all the '{p1}' digits with '{p2}' and vice versa | A171014, A171023, A171031, A171039, A171047 |
| 350 |    44 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, -{p7}, {p8}), (-{p9}, {p10... | A148014, A148163, A148673, A148768, A149232 |
| 351 |    44 | number of {p1}*n x {p2} {p3}..{p4} arrays with row sums {p5} and column sums {p6}*n | A172593, A172677, A172711, A172781, A172840 |
| 352 |    44 | numbers k such that k concatenated with k-{p1} gives the product of {p2} numbers which differ by {p3} | A116094, A116103, A116113, A116122, A116132 |
| 353 |    44 | numbers that are the sum of at most {p1} nonzero {p2}th powers | A004831, A004839, A004858, A004877, A004885 |
| 354 |    44 | numbers that are the sum of at most {p1} positive {p2}th powers | A004842, A004850, A004869, A004888, A004896 |
| 355 |    44 | numbers that are the sum of {p1} cubes in {p2} or more ways | A345506, A345518, A345526, A345538, A345547 |
| 356 |    44 | numbers whose base-{p1} representation contains exactly {p2} {p3}'s and no {p4}'s | A044975, A045033, A045100, A045165, A045225 |
| 357 |    44 | numbers whose base-{p1} representation contains exactly {p2} {p3}'s and {p4} {p5} | A044976, A045034, A045101, A045166, A045226 |
| 358 |    44 | numbers whose base-{p1} representation contains no {p2}'s and exactly {p3} {p4}'s | A044967, A045017, A045088, A045159, A045219 |
| 359 |    44 | positive numbers y such that y^{p1} is of the form x^{p2}+(x+{p3})^{p4} with integer x | A155923, A157247, A159626, A159844, A160200 |
| 360 |    44 | product t{p1}(q^d); d \| {p2}, where t{p3} = theta{p4}(q)/({p5}*q^({p6}/{p7})) | A033761, A033771, A033779, A033787, A033796 |
| 361 |    44 | t(n,k)=number of nxk {p1}..{p2} arrays with every element equal to {p3}, {p4}, {p5}, {p6} or {p7} king-move adjacent elements, with upper left element zero | A298195, A298337, A298501, A298629, A298775 |
| 362 |    43 | a(n) = n^{p1} + {p2} | A001093, A084377, A114949, A189833, A241848 |
| 363 |    43 | a(n) = {p1}*{p2}^n-{p3} | A081655, A198687, A198763, A198797, A198963 |
| 364 |    43 | a(n) is the number of rooted maps with n edges and {p1} faces on an orientable surface of genus {p2} | A287046, A288077, A288085, A288264, A288279 |
| 365 |    43 | antidiagonal sums of {A1} | A124642, A306026, A353128, A366859, A375578 |
| 366 |    43 | number of (n+{p1})x({p2}+{p3}) {p4}..{p5} arrays with every {p6}x{p7} subblock row, column, diagonal and antidiagonal sum not equal to {p8} {p9} or {p10} | A252025, A252060, A252073, A252286, A252339 |
| 367 |    43 | number of n x n arrays of squares of integers, symmetric about both diagonal and antidiagonal, with all rows summing to {p1} | A156430, A156452, A156469, A156487, A156504 |
| 368 |    43 | number of n x n {p1}..{p2} arrays with every element unequal to {p3}, {p4}, {p5}, {p6} or {p7} king-move adjacent elements, with upper left element zero | A304303, A304545, A304769, A304953, A305176 |
| 369 |    43 | number of partitions of n into parts not of the form {p1}k, {p2}k+{p3} or {p4}k-{p5}. also number of partitions with at most {p6} parts of size {p7} and differe... | A035943, A035961, A035975, A035987, A035998 |
| 370 |    43 | numbers whose base-{p1} representation contains exactly {p2} {p3} and {p4} {p5}'s | A044972, A045022, A045093, A045163, A045223 |
| 371 |    43 | primes that become a different prime under the mapping {p1} <=> {p2} | A180517, A180525, A180533, A180541, A180549 |
| 372 |    42 | a(n) = ({p1}n+{p2})^{p3} | A016790, A016823, A016844, A016881, A017177 |
| 373 |    42 | a(n) = {p1}*{p2}^n+{p3} | A199112, A199216, A199321, A199422, A199564 |
| 374 |    42 | a(n) = {p1}^n - {p2}^n | A001047, A016185, A139740, A190540, A248216 |
| 375 |    42 | decimal expansion of a constant related to {A1} | A237888, A239806, A246041, A253270, A258113 |
| 376 |    42 | discriminants of imaginary quadratic fields with class number {p1} (negated) | A006203, A046006, A046014, A171724, A351671 |
| 377 |    42 | expansion of g.f.: ({p1}+x)/({p2}-{p3}*x) | A003950, A170736, A170744, A170752, A170760 |
| 378 |    42 | number of (n+{p1})x({p2}+{p3}) {p4}..{p5} arrays with every {p6}x{p7} subblock row and column sum not equal to {p8} {p9} {p10} {p11} or {p12} and every {p13}x{p... | A252123, A252151, A252241, A252277, A252417 |
| 379 |    42 | number of nx{p1} {p2}..{p3} arrays with every element value z a city block distance of exactly z from another element value z | A208957, A209056, A209213, A209364, A209474 |
| 380 |    42 | {p1}-limiting word of the morphism {p2}->{p3}, {p4}-> {p5} | A284674, A285080, A285162, A285277, A285495 |
| 381 |    41 | a(n) = {p1}^n + {p2} | A000051, A062395, A168415, A178676, A246139 |
| 382 |    41 | in the number n, replace all (decimal) digits '{p1}' with '{p2}' and vice versa | A222210, A222221, A222230, A222238, A222246 |
| 383 |    41 | number of (n+{p1})x{p2} binary arrays avoiding patterns {p3} and {p4} in rows, columns and nw-to-se diagonals | A202429, A202490, A202641, A202773, A202896 |
| 384 |    41 | number of length n+{p1} {p2}..{p3} arrays with every {p4} consecutive terms having the maximum of some {p5} terms equal to the minimum of the remaining {p6} ter... | A249701, A250076, A250150, A250333, A250371 |
| 385 |    41 | number of length {p1}+{p2} {p3}..n arrays with every {p4} consecutive terms having the maximum of some {p5} terms equal to the minimum of the remaining {p6} ter... | A249708, A250084, A250158, A250341, A250379 |
| 386 |    41 | number of length {p1}+{p2} {p3}..n arrays with no {p4} consecutive terms having the maximum of any {p5} terms equal to the minimum of the remaining {p6} terms | A249845, A249885, A249963, A250018, A250064 |
| 387 |    41 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, -{p7}, -{p8}), (-{p9}, -{p... | A148015, A148240, A148708, A148772, A149543 |
| 388 |    41 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, -{p7}, {p8}), (-{p9}, {p10... | A151035, A151051, A151083, A151117, A151150 |
| 389 |    41 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, -{p7}, {p8}), (-{p9}, {p10... | A148284, A148317, A148455, A148648, A149404 |
